Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
149,1673969699384,26.62,33.0,26.332,143.738,-0.01
150,1673969699550,26.63,33.0,26.294,144.056,-0.01
151,1673969699717,26.62,33.0,26.436,144.375,0.01
152,1673969699884,26.64,33.0,26.208,144.693,-0.02
153,1673969700050,26.64,33.0,26.31,145.011,0.0
154,1673969700216,26.63,33.0,26.402,145.33,0.01
155,1673969700382,26.64,33.0,26.264,145.648,-0.01
156,1673969700549,26.64,33.0,26.316,145.966,0.0
157,1673969700715,26.65,33.0,26.228,146.283,-0.01
158,1673969700882,26.65,33.0,26.28,146.601,0.0
159,1673969701048,26.66,33.0,26.192,146.918,-0.01
160,1673969701216,26.67,33.0,26.153,147.234,-0.01
161,1673969701382,26.66,33.0,26.295,147.551,0.01
162,1673969701548,26.68,33.0,26.067,147.867,-0.02
163,1673969701715,26.68,33.0,26.169,148.183,0.0
164,1673969701881,26.69,33.0,26.081,148.499,-0.01
165,1673969702047,26.7,33.0,26.043,148.814,-0.01
166,1673969702214,26.7,33.0,26.095,149.129,0.0
167,1673969702379,26.7,33.0,26.097,149.444,0.0
168,1673969702545,26.72,33.0,25.919,149.758,-0.02
169,1673969702712,26.72,33.0,26.02,150.072,0.0
170,1673969702878,26.72,33.0,26.022,150.386,0.0
171,1673969703045,26.72,33.0,26.024,150.7,0.0
172,1673969703210,26.73,33.0,25.936,151.013,-0.01
173,1673969703377,26.73,33.0,25.988,151.327,0.0
174,1673969703543,26.74,33.0,25.9,151.64,-0.01
175,1673969703710,26.76,33.0,25.772,151.952,-0.02
176,1673969703877,26.75,33.0,25.964,152.264,0.01
177,1673969704043,26.76,33.0,25.825,152.576,-0.01
178,1673969704210,26.77,33.0,25.787,152.888,-0.01
179,1673969704377,26.76,33.0,25.929,153.2,0.01
180,1673969704544,26.78,33.0,25.701,153.511,-0.02
181,1673969704710,26.79,33.0,25.713,153.821,-0.01
182,1673969704877,26.79,33.0,25.765,154.132,0.0
183,1673969705044,26.8,33.0,25.677,154.442,-0.01
184,1673969705209,26.8,33.0,25.729,154.752,0.0
185,1673969705376,26.81,33.0,25.64,155.061,-0.01
186,1673969705542,26.8,33.0,25.782,155.371,0.01
187,1673969705708,26.81,33.0,25.644,155.681,-0.01
188,1673969705875,26.82,33.0,25.606,155.99,-0.01
189,1673969706043,26.82,33.0,25.658,156.299,0.0
190,1673969706209,26.84,33.0,25.48,156.607,-0.02
191,1673969706375,26.84,33.0,25.581,156.915,0.0
192,1673969706541,26.85,33.0,25.493,157.222,-0.01
193,1673969706708,26.85,33.0,25.545,157.53,0.0
194,1673969706875,26.86,33.0,25.457,157.837,-0.01
195,1673969707042,26.85,33.0,25.599,158.144,0.01
196,1673969707208,26.86,33.0,25.461,158.451,-0.01
197,1673969707374,26.88,33.0,25.333,158.757,-0.02
198,1673969707542,26.88,33.0,25.434,159.063,0.0
199,1673969707707,26.89,33.0,25.346,159.369,-0.01
200,1673969707874,26.89,33.0,25.398,159.674,0.0
201,1673969708040,26.88,33.0,25.49,159.98,0.01
202,1673969708206,26.91,33.0,25.172,160.285,-0.03
203,1673969708373,26.9,33.0,25.414,160.59,0.01
204,1673969708540,26.92,33.0,25.185,160.894,-0.02
205,1673969708705,26.91,33.0,25.377,161.198,0.01
206,1673969708872,26.92,33.0,25.239,161.502,-0.01
207,1673969709038,26.93,33.0,25.201,161.806,-0.01
208,1673969709206,26.95,33.0,25.073,162.108,-0.02
209,1673969709372,26.96,33.0,25.084,162.41,-0.01
210,1673969709540,26.93,33.0,25.406,162.714,0.03
211,1673969709706,26.95,33.0,25.078,163.016,-0.02
212,1673969709873,26.96,33.0,25.09,163.318,-0.01
213,1673969710039,26.97,33.0,25.052,163.62,-0.01
214,1673969710206,26.99,33.0,24.924,163.92,-0.02
215,1673969710373,26.97,33.0,25.205,164.222,0.02
216,1673969710539,26.99,33.0,24.927,164.522,-0.02
217,1673969710707,27.0,33.0,24.939,164.822,-0.01
218,1673969710873,27.0,33.0,24.991,165.122,0.0
219,1673969711039,27.02,33.0,24.813,165.421,-0.02
220,1673969711206,27.03,33.0,24.824,165.72,-0.01
221,1673969711374,27.02,33.0,24.966,166.019,0.01
222,1673969711539,27.03,33.0,24.828,166.317,-0.01
223,1673969711706,27.04,33.0,24.79,166.615,-0.01
224,1673969711871,27.04,33.0,24.841,166.913,0.0
225,1673969712039,27.05,33.0,24.753,167.211,-0.01
226,1673969712205,27.07,33.0,24.625,167.507,-0.02
227,1673969712371,27.07,33.0,24.727,167.804,0.0
228,1673969712536,27.07,33.0,24.729,168.1,0.0
229,1673969712703,27.07,33.0,24.73,168.397,0.0
230,1673969712869,27.09,33.0,24.552,168.692,-0.02
231,1673969713036,27.1,33.0,24.564,168.987,-0.01
232,1673969713202,27.1,33.0,24.616,169.282,0.0
233,1673969713370,27.11,33.0,24.527,169.577,-0.01
234,1673969713536,27.11,33.0,24.579,169.871,0.0
235,1673969713702,27.12,33.0,24.491,170.165,-0.01
236,1673969713870,27.13,33.0,24.453,170.459,-0.01
237,1673969714035,27.14,33.0,24.415,170.752,-0.01
