Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
8726,1673971149192,27.09,33.0,1.0,164.454,0.0
8727,1673971149358,27.09,33.0,1.0,165.429,0.0
8728,1673971149524,27.09,33.0,1.0,166.404,0.0
8729,1673971149691,27.08,33.0,1.0,167.38,0.0
8730,1673971149857,27.09,33.0,1.0,168.357,0.0
8731,1673971150023,27.1,33.0,1.0,169.362,0.0
8732,1673971150189,27.09,33.0,1.0,170.335,0.0
8733,1673971150355,27.08,33.0,1.0,171.31,0.0
8734,1673971150520,27.09,33.0,1.0,172.287,0.0
8735,1673971150687,27.08,33.0,1.0,173.262,0.0
8736,1673971150853,27.09,33.0,1.0,174.269,0.0
8737,1673971151019,27.09,33.0,1.0,175.244,0.0
8738,1673971151185,27.1,33.0,1.0,176.22,0.0
8739,1673971151350,27.08,33.0,1.0,177.193,0.0
8740,1673971151516,27.09,33.0,1.0,178.17,0.0
8741,1673971151683,27.09,33.0,1.0,179.175,0.0
8742,1673971151849,27.1,33.0,1.0,180.15,0.0
8743,1673971152015,27.08,33.0,1.0,181.123,0.0
8744,1673971152181,27.1,33.0,1.0,182.1,0.0
8745,1673971152347,27.09,33.0,1.0,183.074,0.0
8746,1673971152512,27.06,33.0,1.0,184.079,0.0
8747,1673971152679,27.08,33.0,1.0,185.058,0.0
8748,1673971152845,27.1,33.0,1.0,186.035,0.0
8749,1673971153011,27.09,33.0,1.0,187.009,0.0
8750,1673971153176,27.08,33.0,1.0,187.984,0.0
8751,1673971153343,27.09,33.0,1.0,188.99,0.0
8752,1673971153509,27.09,33.0,1.0,189.966,0.0
8753,1673971153674,27.08,33.0,1.0,190.941,0.0
8754,1673971153841,27.09,33.0,1.0,191.918,0.0
8755,1673971154007,27.09,33.0,1.0,192.893,0.0
8756,1673971154173,27.08,33.0,1.0,193.898,0.0
8757,1673971154339,27.09,33.0,1.0,194.875,0.0
8758,1673971154504,27.08,33.0,1.0,195.851,0.0
8759,1673971154671,27.09,33.0,1.0,196.827,0.0
8760,1673971154837,27.08,33.0,1.0,197.803,0.0
8761,1673971155003,27.08,33.0,1.0,198.809,0.0
8762,1673971155168,27.1,33.0,1.0,199.786,0.0
8763,1673971155334,27.09,33.0,1.0,200.759,0.0
8764,1673971155501,27.09,33.0,1.0,201.735,0.0
8765,1673971155666,27.08,33.0,1.0,202.71,0.0
8766,1673971155833,27.05,33.0,1.0,203.717,0.0
8767,1673971155999,27.08,33.0,1.0,204.699,0.0
8768,1673971156164,27.09,33.0,1.0,205.675,0.0
8769,1673971156331,27.09,33.0,1.0,206.651,0.0
8770,1673971156497,27.09,33.0,1.0,207.626,0.0
8771,1673971156663,27.09,33.0,1.0,208.631,0.0
8772,1673971156828,27.07,33.0,1.0,209.606,0.0
8773,1673971156994,27.07,33.0,1.0,210.585,0.0
8774,1673971157161,27.08,33.0,1.0,211.563,0.0
8775,1673971157327,27.08,33.0,1.0,212.54,0.0
8776,1673971157493,27.08,33.0,1.0,213.547,0.0
8777,1673971157659,27.08,33.0,1.0,214.523,0.0
8778,1673971157825,27.08,33.0,1.0,215.5,0.0
8779,1673971157991,27.08,33.0,1.0,216.477,0.0
8780,1673971158157,27.07,33.0,1.0,217.454,0.0
8781,1673971158322,27.08,33.0,1.0,218.462,0.0
8782,1673971158489,27.08,33.0,1.0,219.439,0.0
8783,1673971158654,27.08,33.0,1.0,220.416,0.0
8784,1673971158821,27.08,33.0,1.0,221.393,0.0
8785,1673971158987,27.08,33.0,1.0,222.369,0.0
8786,1673971159153,27.05,33.0,1.0,223.376,0.0
8787,1673971159319,27.08,33.0,1.0,224.358,0.0
8788,1673971159485,27.08,33.0,1.0,225.335,0.0
8789,1673971159650,27.08,33.0,1.0,226.312,0.0
8790,1673971159817,27.07,33.0,1.0,227.288,0.0
8791,1673971159983,27.08,33.0,1.0,228.296,0.0
8792,1673971160149,27.08,33.0,1.0,229.273,0.0
8793,1673971160315,27.08,33.0,1.0,230.25,0.0
8794,1673971160481,27.08,33.0,1.0,231.227,0.0
8795,1673971160647,27.09,33.0,1.0,232.204,0.0
8796,1673971160813,27.08,33.0,1.0,233.209,0.0
8797,1673971160979,27.08,33.0,1.0,234.186,0.0
8798,1673971161144,27.08,33.0,1.0,235.163,0.0
8799,1673971161310,27.08,33.0,1.0,236.139,0.0
8800,1673971161476,27.08,33.0,1.0,237.116,0.0
8801,1673971161643,27.08,33.0,1.0,238.123,0.0
8802,1673971161809,27.08,33.0,1.0,239.1,0.0
8803,1673971161975,27.08,33.0,1.0,240.077,0.0
8804,1673971162141,27.08,33.0,1.0,241.053,0.0
8805,1673971162306,27.08,33.0,1.0,242.03,0.0
8806,1673971162473,27.08,33.0,1.0,243.037,0.0
8807,1673971162639,27.07,33.0,1.0,244.014,0.0
8808,1673971162804,27.08,33.0,1.0,244.992,0.0
8809,1673971162971,27.08,33.0,1.0,245.969,0.0
8810,1673971163137,27.07,33.0,1.0,246.946,0.0
8811,1673971163303,27.08,33.0,1.0,247.954,0.0
8812,1673971163469,27.08,33.0,1.0,248.931,0.0
8813,1673971163635,27.08,33.0,1.0,249.907,0.0
8814,1673971163801,27.07,33.0,1.0,250.884,0.0
8815,1673971163967,27.07,33.0,1.0,251.863,0.0
8816,1673971164133,27.08,33.0,1.0,252.871,0.0
8817,1673971164299,27.08,33.0,1.0,253.848,0.0
8818,1673971164464,27.07,33.0,1.0,254.824,0.0
8819,1673971164631,27.07,33.0,1.0,255.803,0.0
8820,1673971164796,27.07,33.0,1.0,256.782,0.0
8821,1673971164963,27.08,33.0,1.0,257.79,0.0
8822,1673971165129,27.08,33.0,1.0,258.767,0.0
8823,1673971165295,27.07,33.0,1.0,259.744,0.0
8824,1673971165461,27.07,33.0,1.0,260.723,0.0
8825,1673971165626,27.07,33.0,1.0,261.702,0.0
8826,1673971165793,27.08,33.0,1.0,262.71,0.0
8827,1673971165959,27.07,33.0,1.0,263.687,0.0
8828,1673971166124,27.07,33.0,1.0,264.666,0.0
8829,1673971166291,27.08,33.0,1.0,265.645,0.0
8830,1673971166457,27.09,33.0,1.0,266.622,0.0
8831,1673971166623,27.06,33.0,1.0,267.626,0.0
8832,1673971166788,27.08,33.0,1.0,268.606,0.0
8833,1673971166955,27.06,33.0,1.0,269.583,0.0
8834,1673971167121,27.08,33.0,1.0,270.563,0.0
8835,1673971167286,27.07,33.0,1.0,271.54,0.0
8836,1673971167453,27.07,33.0,1.0,272.548,0.0
8837,1673971167619,27.08,33.0,1.0,273.527,0.0
8838,1673971167785,27.07,33.0,1.0,274.504,0.0
8839,1673971167951,27.06,33.0,1.0,275.483,0.0
8840,1673971168117,27.07,33.0,1.0,276.463,0.0
8841,1673971168282,27.07,33.0,1.0,277.471,0.0
8842,1673971168449,27.08,33.0,1.0,278.45,0.0
8843,1673971168615,27.08,33.0,1.0,279.427,0.0
8844,1673971168781,27.06,33.0,1.0,280.404,0.0
8845,1673971168946,27.08,33.0,1.0,281.384,0.0
8846,1673971169113,27.08,33.0,1.0,282.39,0.0
8847,1673971169278,27.07,33.0,1.0,283.367,0.0
8848,1673971169445,27.07,33.0,1.0,284.346,0.0
8849,1673971169611,27.07,33.0,1.0,285.325,0.0
8850,1673971169777,27.07,33.0,1.0,286.304,0.0
8851,1673971169943,27.08,33.0,1.0,287.312,0.0
8852,1673971170109,27.08,33.0,1.0,288.289,0.0
8853,1673971170275,27.07,33.0,1.0,289.266,0.0
8854,1673971170441,27.08,33.0,1.0,290.245,0.0
8855,1673971170607,27.08,33.0,1.0,291.222,0.0
8856,1673971170773,27.08,33.0,1.0,292.228,0.0
8857,1673971170939,27.07,33.0,1.0,293.205,0.0
8858,1673971171105,27.08,33.0,1.0,294.184,0.0
8859,1673971171271,27.07,33.0,1.0,295.161,0.0
8860,1673971171437,27.07,33.0,1.0,296.14,0.0
8861,1673971171603,27.07,33.0,1.0,297.148,0.0
8862,1673971171768,27.08,33.0,1.0,298.127,0.0
8863,1673971171935,27.06,33.0,1.0,299.104,0.0
8864,1673971172101,27.08,33.0,1.0,300.084,0.0
8865,1673971172267,27.07,33.0,1.0,301.061,0.0
8866,1673971172433,27.08,33.0,1.0,302.069,0.0
8867,1673971172599,27.07,33.0,1.0,303.046,0.0
8868,1673971172765,27.07,33.0,1.0,304.025,0.0
8869,1673971172931,27.07,33.0,1.0,305.004,0.0
8870,1673971173097,27.07,33.0,1.0,305.983,0.0
8871,1673971173264,27.07,33.0,1.0,306.991,0.0
8872,1673971173428,27.07,33.0,1.0,307.97,0.0
8873,1673971173595,27.07,33.0,1.0,308.949,0.0
8874,1673971173761,27.08,33.0,1.0,309.928,0.0
8875,1673971173926,27.07,33.0,1.0,310.905,0.0
8876,1673971174094,27.07,33.0,1.0,311.913,0.0
8877,1673971174258,27.08,33.0,1.0,312.892,0.0
8878,1673971174426,27.07,33.0,1.0,313.869,0.0
8879,1673971174592,27.07,33.0,1.0,314.848,0.0
8880,1673971174757,27.07,33.0,1.0,315.827,0.0
8881,1673971174923,27.06,33.0,1.0,316.836,0.0
8882,1673971175089,27.08,33.0,1.0,317.815,0.0
8883,1673971175255,27.07,33.0,1.0,318.792,0.0
8884,1673971175422,27.07,33.0,1.0,319.771,0.0
8885,1673971175588,27.09,33.0,1.0,320.75,0.0
8886,1673971175754,27.07,33.0,1.0,321.754,0.0
8887,1673971175920,27.07,33.0,1.0,322.733,0.0
8888,1673971176086,27.06,33.0,1.0,323.712,0.0
8889,1673971176252,27.07,33.0,1.0,324.692,0.0
8890,1673971176418,27.06,33.0,1.0,325.671,0.0
8891,1673971176584,27.07,33.0,1.0,326.681,0.0
8892,1673971176750,27.08,33.0,1.0,327.659,0.0
8893,1673971176916,27.07,33.0,1.0,328.636,0.0
8894,1673971177081,27.08,33.0,1.0,329.615,0.0
8895,1673971177248,27.07,33.0,1.0,330.592,0.0
8896,1673971177414,27.08,33.0,1.0,331.601,0.0
8897,1673971177580,27.07,33.0,1.0,332.577,0.0
8898,1673971177746,27.06,33.0,1.0,333.556,0.0
8899,1673971177912,27.08,33.0,1.0,334.536,0.0
8900,1673971178078,27.07,33.0,1.0,335.513,0.0
8901,1673971178244,27.08,33.0,1.0,336.522,0.0
8902,1673971178410,27.07,33.0,1.0,337.499,0.0
8903,1673971178576,27.07,33.0,1.0,338.477,0.0
8904,1673971178742,27.07,33.0,1.0,339.456,0.0
8905,1673971178908,27.07,33.0,1.0,340.435,0.0
8906,1673971179074,27.07,33.0,1.0,341.444,0.0
8907,1673971179240,27.07,33.0,1.0,342.423,0.0
8908,1673971179406,27.06,33.0,1.0,343.401,0.0
8909,1673971179572,27.07,33.0,1.0,344.381,0.0
8910,1673971179737,27.07,33.0,1.0,345.36,0.0
8911,1673971179904,27.07,33.0,1.0,346.369,0.0
8912,1673971180070,27.06,33.0,1.0,347.348,0.0
8913,1673971180236,27.06,33.0,1.0,348.328,0.0
8914,1673971180402,27.07,33.0,1.0,349.307,0.0
8915,1673971180567,27.07,33.0,1.0,350.286,0.0
8916,1673971180734,27.08,33.0,1.0,351.295,0.0
8917,1673971180900,27.07,33.0,1.0,352.272,0.0
8918,1673971181066,27.06,33.0,1.0,353.251,0.0
8919,1673971181232,27.07,33.0,1.0,354.23,0.0
8920,1673971181398,27.06,33.0,1.0,355.209,0.0
8921,1673971181564,27.08,33.0,1.0,356.219,0.0
8922,1673971181730,27.08,33.0,1.0,357.196,0.0
8923,1673971181896,27.07,33.0,1.0,358.173,0.0
8924,1673971182062,27.07,33.0,1.0,359.152,0.0
8925,1673971182229,27.07,33.0,1.0,360.13,0.0
8926,1673971182394,27.07,33.0,1.0,361.139,0.0
8927,1673971182560,27.07,33.0,1.0,362.118,0.0
8928,1673971182726,27.06,33.0,1.0,363.097,0.0
8929,1673971182891,27.07,33.0,1.0,364.077,0.0
8930,1673971183057,27.06,33.0,1.0,365.056,0.0
8931,1673971183224,27.07,33.0,1.0,366.065,0.0
8932,1673971183390,27.07,33.0,1.0,367.044,0.0
8933,1673971183557,27.07,33.0,1.0,368.023,0.0
8934,1673971183721,27.07,33.0,1.0,369.002,0.0
8935,1673971183887,27.06,33.0,1.0,369.981,0.0
8936,1673971184053,27.06,33.0,1.0,370.99,0.0
8937,1673971184219,27.05,33.0,1.0,371.97,0.0
8938,1673971184386,27.07,33.0,1.0,372.952,0.0
8939,1673971184551,27.06,33.0,1.0,373.931,0.0
8940,1673971184718,27.06,33.0,1.0,374.911,0.0
8941,1673971184884,27.07,33.0,1.0,375.92,0.0
8942,1673971185049,27.07,33.0,1.0,376.899,0.0
8943,1673971185216,27.06,33.0,1.0,377.878,0.0
8944,1673971185382,27.06,33.0,1.0,378.858,0.0
8945,1673971185548,27.07,33.0,1.0,379.838,0.0
8946,1673971185714,27.07,33.0,1.0,380.846,0.0
8947,1673971185880,27.07,33.0,1.0,381.825,0.0
8948,1673971186045,27.06,33.0,1.0,382.804,0.0
8949,1673971186212,27.06,33.0,1.0,383.784,0.0
8950,1673971186378,27.06,33.0,1.0,384.764,0.0
8951,1673971186544,27.08,33.0,1.0,385.774,0.0
8952,1673971186710,27.07,33.0,1.0,386.75,0.0
8953,1673971186876,27.06,33.0,1.0,387.729,0.0
8954,1673971187041,27.06,33.0,1.0,388.709,0.0
8955,1673971187208,27.07,33.0,1.0,389.689,0.0
8956,1673971187374,27.07,33.0,1.0,390.698,0.0
8957,1673971187540,27.07,33.0,1.0,391.677,0.0
8958,1673971187706,27.06,33.0,1.0,392.655,0.0
8959,1673971187872,27.06,33.0,1.0,393.635,0.0
8960,1673971188038,27.07,33.0,1.0,394.615,0.0
8961,1673971188203,27.07,33.0,1.0,395.624,0.0
8962,1673971188370,27.07,33.0,1.0,396.603,0.0
8963,1673971188536,27.07,33.0,1.0,397.582,0.0
8964,1673971188702,27.06,33.0,1.0,398.56,0.0
8965,1673971188868,27.07,33.0,1.0,399.54,0.0
8966,1673971189034,27.07,33.0,1.0,400.549,0.0
8967,1673971189200,27.07,33.0,1.0,401.528,0.0
8968,1673971189366,27.07,33.0,1.0,402.507,0.0
8969,1673971189532,27.07,33.0,1.0,403.485,0.0
8970,1673971189698,27.08,33.0,1.0,404.464,0.0
8971,1673971189863,27.06,33.0,1.0,405.471,0.0
8972,1673971190030,27.06,33.0,1.0,406.451,0.0
8973,1673971190196,27.06,33.0,1.0,407.431,0.0
8974,1673971190362,27.07,33.0,1.0,408.41,0.0
8975,1673971190528,27.06,33.0,1.0,409.389,0.0
8976,1673971190693,27.07,33.0,1.0,410.399,0.0
8977,1673971190860,27.06,33.0,1.0,411.378,0.0
8978,1673971191026,27.06,33.0,1.0,412.358,0.0
8979,1673971191192,27.07,33.0,1.0,413.338,0.0
8980,1673971191358,27.06,33.0,1.0,414.316,0.0
8981,1673971191524,27.06,33.0,1.0,415.326,0.0
8982,1673971191690,27.07,33.0,1.0,416.306,0.0
8983,1673971191856,27.07,33.0,1.0,417.285,0.0
8984,1673971192023,27.07,33.0,1.0,418.264,0.0
8985,1673971192188,27.07,33.0,1.0,419.243,0.0
8986,1673971192353,27.07,33.0,1.0,420.251,0.0
8987,1673971192520,27.07,33.0,1.0,421.23,0.0
8988,1673971192685,27.07,33.0,1.0,422.209,0.0
8989,1673971192852,27.07,33.0,1.0,423.188,0.0
8990,1673971193018,27.06,33.0,1.0,424.167,0.0
8991,1673971193184,27.07,33.0,1.0,425.176,0.0
8992,1673971193350,27.06,33.0,1.0,426.155,0.0
8993,1673971193515,27.07,33.0,1.0,427.135,0.0
8994,1673971193682,27.06,33.0,1.0,428.114,0.0
8995,1673971193848,27.07,33.0,1.0,429.094,0.0
8996,1673971194014,27.06,33.0,1.0,430.102,0.0
8997,1673971194180,27.07,33.0,1.0,431.082,0.0
8998,1673971194345,27.06,33.0,1.0,432.061,0.0
8999,1673971194512,27.07,33.0,1.0,433.041,0.0
9000,1673971194678,27.06,33.0,1.0,434.02,0.0
9001,1673971194844,27.07,33.0,1.0,435.029,0.0
9002,1673971195010,27.07,33.0,1.0,436.008,0.0
9003,1673971195176,27.06,33.0,1.0,436.987,0.0
9004,1673971195342,27.07,33.0,1.0,437.967,0.0
9005,1673971195508,27.06,33.0,1.0,438.946,0.0
9006,1673971195674,27.07,33.0,1.0,439.956,0.0
9007,1673971195840,27.06,33.0,1.0,440.934,0.0
9008,1673971196006,27.07,33.0,1.0,441.914,0.0
9009,1673971196172,27.07,33.0,1.0,442.893,0.0
9010,1673971196338,27.05,33.0,1.0,443.872,0.0
9011,1673971196504,27.07,33.0,1.0,444.884,0.0
9012,1673971196670,27.06,33.0,1.0,445.863,0.0
9013,1673971196836,27.06,33.0,1.0,446.843,0.0
9014,1673971197002,27.06,33.0,1.0,447.822,0.0
9015,1673971197168,27.07,33.0,1.0,448.802,0.0
9016,1673971197334,27.06,33.0,1.0,449.811,0.0
9017,1673971197500,27.07,33.0,1.0,450.791,0.0
9018,1673971197666,27.06,33.0,1.0,451.77,0.0
9019,1673971197832,27.05,33.0,1.0,452.75,0.0
9020,1673971197998,27.05,33.0,1.0,453.731,0.0
9021,1673971198164,27.07,33.0,1.0,454.743,0.0
9022,1673971198330,27.06,33.0,1.0,455.722,0.0
9023,1673971198496,27.06,33.0,1.0,456.702,0.0
9024,1673971198662,27.06,33.0,1.0,457.682,0.0
9025,1673971198828,27.06,33.0,1.0,458.662,0.0
9026,1673971198994,27.06,33.0,1.0,459.671,0.0
9027,1673971199160,27.07,33.0,1.0,460.651,0.0
9028,1673971199326,27.06,33.0,1.0,461.63,0.0
9029,1673971199492,27.06,33.0,1.0,462.61,0.0
9030,1673971199658,27.06,33.0,1.0,463.59,0.0
9031,1673971199824,27.07,33.0,1.0,464.599,0.0
9032,1673971199990,27.05,33.0,1.0,465.578,0.0
9033,1673971200155,27.06,33.0,1.0,466.56,0.0
9034,1673971200322,27.06,33.0,1.0,467.54,0.0
9035,1673971200487,27.06,33.0,1.0,468.52,0.0
9036,1673971200654,27.07,33.0,1.0,469.53,0.0
9037,1673971200820,27.06,33.0,1.0,470.508,0.0
9038,1673971200986,27.07,33.0,1.0,471.488,0.0
9039,1673971201152,27.06,33.0,1.0,472.467,0.0
9040,1673971201317,27.07,33.0,1.0,473.447,0.0
9041,1673971201484,27.07,33.0,1.0,474.456,0.0
9042,1673971201650,27.06,33.0,1.0,475.434,0.0
9043,1673971201816,27.07,33.0,1.0,476.414,0.0
9044,1673971201982,27.06,33.0,1.0,477.393,0.0
9045,1673971202148,27.05,33.0,1.0,478.373,0.0
9046,1673971202313,27.07,33.0,1.0,479.385,0.0
9047,1673971202480,27.06,33.0,1.0,480.364,0.0
9048,1673971202646,27.06,33.0,1.0,481.344,0.0
9049,1673971202812,27.06,33.0,1.0,482.323,0.0
9050,1673971202977,27.06,33.0,1.0,483.303,0.0
9051,1673971203144,27.05,33.0,1.0,484.313,0.0
9052,1673971203310,27.06,33.0,1.0,485.295,0.0
9053,1673971203476,27.06,33.0,1.0,486.275,0.0
9054,1673971203641,27.05,33.0,1.0,487.255,0.0
9055,1673971203808,27.06,33.0,1.0,488.237,0.0
9056,1673971203974,27.06,33.0,1.0,489.246,0.0
9057,1673971204140,27.07,33.0,1.0,490.226,0.0
9058,1673971204306,27.05,33.0,1.0,491.205,0.0
9059,1673971204472,27.06,33.0,1.0,492.187,0.0
9060,1673971204639,27.05,33.0,1.0,493.167,0.0
9061,1673971204804,27.05,33.0,1.0,494.178,0.0
9062,1673971204970,27.05,33.0,1.0,495.16,0.0
9063,1673971205136,27.06,33.0,1.0,496.142,0.0
9064,1673971205301,27.06,33.0,1.0,497.122,0.0
9065,1673971205468,27.06,33.0,1.0,498.102,0.0
9066,1673971205634,27.05,33.0,1.0,499.111,0.0
9067,1673971205800,27.06,33.0,1.0,500.093,0.0
9068,1673971205966,27.06,33.0,1.0,501.073,0.0
9069,1673971206132,27.07,33.0,1.0,502.053,0.0
9070,1673971206298,27.06,33.0,1.0,503.032,0.0
9071,1673971206464,27.06,33.0,1.0,504.042,0.0
9072,1673971206630,27.06,33.0,1.0,505.022,0.0
9073,1673971206796,27.06,33.0,1.0,506.001,0.0
9074,1673971206962,27.05,33.0,1.0,506.981,0.0
9075,1673971207127,27.05,33.0,1.0,507.963,0.0
9076,1673971207294,27.06,33.0,1.0,508.975,0.0
9077,1673971207459,27.06,33.0,1.0,509.955,0.0
9078,1673971207626,27.06,33.0,1.0,510.935,0.0
9079,1673971207792,27.06,33.0,1.0,511.915,0.0
9080,1673971207957,27.06,33.0,1.0,512.895,0.0
9081,1673971208124,27.06,33.0,1.0,513.906,0.0
9082,1673971208289,27.05,33.0,1.0,514.887,0.0
9083,1673971208456,27.06,33.0,1.0,515.868,0.0
9084,1673971208622,27.05,33.0,1.0,516.849,0.0
9085,1673971208788,27.05,33.0,1.0,517.83,0.0
9086,1673971208954,27.05,33.0,1.0,518.84,0.0
9087,1673971209119,27.06,33.0,1.0,519.821,0.0
9088,1673971209285,27.06,33.0,1.0,520.802,0.0
9089,1673971209451,27.05,33.0,1.0,521.783,0.0
9090,1673971209618,27.05,33.0,1.0,522.764,0.0
9091,1673971209784,27.06,33.0,1.0,523.774,0.0
9092,1673971209950,27.06,33.0,1.0,524.755,0.0
9093,1673971210116,27.06,33.0,1.0,525.736,0.0
9094,1673971210282,27.06,33.0,1.0,526.717,0.0
9095,1673971210448,27.05,33.0,1.0,527.698,0.0
9096,1673971210614,27.06,33.0,1.0,528.709,0.0
9097,1673971210780,27.07,33.0,1.0,529.689,0.0
9098,1673971210946,27.06,33.0,1.0,530.668,0.0
9099,1673971211112,27.06,33.0,1.0,531.649,0.0
9100,1673971211278,27.05,33.0,1.0,532.63,0.0
9101,1673971211444,27.06,33.0,1.0,533.641,0.0
9102,1673971211610,27.05,33.0,1.0,534.622,0.0
9103,1673971211776,27.06,33.0,1.0,535.603,0.0
9104,1673971211942,27.06,33.0,1.0,536.583,0.0
9105,1673971212108,27.05,33.0,1.0,537.564,0.0
9106,1673971212273,27.05,33.0,1.0,538.575,0.0
9107,1673971212440,27.05,33.0,1.0,539.556,0.0
9108,1673971212606,27.06,33.0,1.0,540.537,0.0
9109,1673971212772,27.05,33.0,1.0,541.518,0.0
9110,1673971212938,27.07,33.0,1.0,542.499,0.0
9111,1673971213103,27.06,33.0,1.0,543.507,0.0
9112,1673971213270,27.05,33.0,1.0,544.488,0.0
9113,1673971213436,27.05,33.0,1.0,545.469,0.0
9114,1673971213601,27.06,33.0,1.0,546.45,0.0
9115,1673971213767,27.05,33.0,1.0,547.431,0.0
9116,1673971213934,27.05,33.0,1.0,548.441,0.0
9117,1673971214100,27.05,33.0,1.0,549.422,0.0
9118,1673971214266,27.06,33.0,1.0,550.403,0.0
9119,1673971214432,27.04,33.0,1.0,551.384,0.0
9120,1673971214598,27.05,33.0,1.0,552.367,0.0
9121,1673971214764,27.04,33.0,1.0,553.378,0.0
9122,1673971214930,27.05,33.0,1.0,554.36,0.0
9123,1673971215096,27.06,33.0,1.0,555.341,0.0
9124,1673971215261,27.05,33.0,1.0,556.322,0.0
9125,1673971215428,27.05,33.0,1.0,557.303,0.0
9126,1673971215593,27.06,33.0,1.0,558.314,0.0
9127,1673971215760,27.05,33.0,1.0,559.295,0.0
9128,1673971215926,27.06,33.0,1.0,560.276,0.0
9129,1673971216091,27.05,33.0,1.0,561.256,0.0
9130,1673971216258,27.05,33.0,1.0,562.237,0.0
9131,1673971216424,27.05,33.0,1.0,563.248,0.0
9132,1673971216590,27.04,33.0,1.0,564.229,0.0
9133,1673971216756,27.05,33.0,1.0,565.212,0.0
9134,1673971216921,27.05,33.0,1.0,566.193,0.0
9135,1673971217088,27.05,33.0,1.0,567.174,0.0
9136,1673971217253,27.05,33.0,1.0,568.184,0.0
9137,1673971217420,27.04,33.0,1.0,569.165,0.0
9138,1673971217585,27.05,33.0,1.0,570.148,0.0
9139,1673971217752,27.05,33.0,1.0,571.129,0.0
9140,1673971217918,27.05,33.0,1.0,572.11,0.0
9141,1673971218083,27.05,33.0,1.0,573.12,0.0
9142,1673971218250,27.05,33.0,1.0,574.101,0.0
9143,1673971218416,27.05,33.0,1.0,575.082,0.0
9144,1673971218582,27.06,33.0,1.0,576.063,0.0
9145,1673971218748,27.05,33.0,1.0,577.044,0.0
9146,1673971218913,27.05,33.0,1.0,578.055,0.0
9147,1673971219080,27.06,33.0,1.0,579.035,0.0
9148,1673971219246,27.05,33.0,1.0,580.016,0.0
9149,1673971219411,27.07,33.0,1.0,580.997,0.0
9150,1673971219578,27.05,33.0,1.0,581.976,0.0
9151,1673971219743,27.05,33.0,1.0,582.987,0.0
9152,1673971219910,27.05,33.0,1.0,583.968,0.0
9153,1673971220076,27.05,33.0,1.0,584.949,0.0
9154,1673971220242,27.05,33.0,1.0,585.929,0.0
9155,1673971220408,27.05,33.0,1.0,586.91,0.0
9156,1673971220574,27.05,33.0,1.0,587.921,0.0
9157,1673971220739,27.05,33.0,1.0,588.902,0.0
9158,1673971220906,27.05,33.0,1.0,589.883,0.0
9159,1673971221071,27.05,33.0,1.0,590.864,0.0
9160,1673971221238,27.06,33.0,1.0,591.845,0.0
9161,1673971221403,27.05,33.0,1.0,592.855,0.0
9162,1673971221570,27.05,33.0,1.0,593.836,0.0
9163,1673971221735,27.05,33.0,1.0,594.817,0.0
9164,1673971221902,27.05,33.0,1.0,595.798,0.0
9165,1673971222068,27.06,33.0,1.0,596.779,0.0
9166,1673971222233,27.05,33.0,1.0,597.789,0.0
9167,1673971222400,27.05,33.0,1.0,598.77,0.0
9168,1673971222565,27.05,33.0,1.0,599.751,0.0
9169,1673971222732,27.05,33.0,1.0,600.732,0.0
9170,1673971222897,27.06,33.0,1.0,601.713,0.0
9171,1673971223063,27.05,33.0,1.0,602.724,0.0
9172,1673971223229,27.06,33.0,1.0,603.704,0.0
9173,1673971223396,27.05,33.0,1.0,604.685,0.0
9174,1673971223562,27.05,33.0,1.0,605.666,0.0
9175,1673971223729,27.05,33.0,1.0,606.647,0.0
9176,1673971223894,27.06,33.0,1.0,607.658,0.0
9177,1673971224060,27.05,33.0,1.0,608.639,0.0
9178,1673971224226,27.05,33.0,1.0,609.62,0.0
9179,1673971224392,27.05,33.0,1.0,610.6,0.0
9180,1673971224558,27.05,33.0,1.0,611.581,0.0
9181,1673971224723,27.05,33.0,1.0,612.592,0.0
9182,1673971224890,27.06,33.0,1.0,613.573,0.0
9183,1673971225056,27.06,33.0,1.0,614.554,0.0
9184,1673971225222,27.05,33.0,1.0,615.535,0.0
9185,1673971225388,27.05,33.0,1.0,616.516,0.0
9186,1673971225554,27.05,33.0,1.0,617.526,0.0
9187,1673971225720,27.04,33.0,1.0,618.507,0.0
9188,1673971225886,27.05,33.0,1.0,619.49,0.0
9189,1673971226052,27.04,33.0,1.0,620.471,0.0
9190,1673971226218,27.04,33.0,1.0,621.454,0.0
9191,1673971226384,27.05,33.0,1.0,622.466,0.0
9192,1673971226550,27.06,33.0,1.0,623.447,0.0
9193,1673971226716,27.07,33.0,1.0,624.428,0.0
9194,1673971226882,27.05,33.0,1.0,625.407,0.0
9195,1673971227047,27.05,33.0,1.0,626.388,0.0
9196,1673971227213,27.04,33.0,1.0,627.399,0.0
9197,1673971227380,27.05,33.0,1.0,628.382,0.0
9198,1673971227545,27.05,33.0,1.0,629.362,0.0
9199,1673971227712,27.04,33.0,1.0,630.343,0.0
9200,1673971227878,27.05,33.0,1.0,631.326,0.0
9201,1673971228044,27.05,33.0,1.0,632.337,0.0
9202,1673971228210,27.05,33.0,1.0,633.318,0.0
9203,1673971228376,27.05,33.0,1.0,634.299,0.0
9204,1673971228542,27.04,33.0,1.0,635.28,0.0
9205,1673971228708,27.04,33.0,1.0,636.263,0.0
