Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temp ()
736,1673365704366,26.89
737,1673365704530,26.89
738,1673365704694,26.89
739,1673365704857,26.89
740,1673365705021,26.89
741,1673365705185,26.89
742,1673365705349,26.89
743,1673365705514,26.89
744,1673365705678,26.89
745,1673365705842,26.89
746,1673365706005,26.89
747,1673365706170,26.88
748,1673365706333,26.89
749,1673365706498,26.9
750,1673365706662,26.89
751,1673365706825,26.9
752,1673365706990,26.9
753,1673365707153,26.89
754,1673365707318,26.89
755,1673365707481,26.88
756,1673365707646,26.89
757,1673365707810,26.88
758,1673365707974,26.89
759,1673365708138,26.89
760,1673365708302,26.88
761,1673365708465,26.9
762,1673365708630,26.9
763,1673365708793,26.89
764,1673365708957,26.88
765,1673365709122,26.89
766,1673365709285,26.89
767,1673365709450,26.89
768,1673365709613,26.89
769,1673365709778,26.89
770,1673365709941,26.89
771,1673365710105,26.89
772,1673365710270,26.89
773,1673365710434,26.88
774,1673365710598,26.89
775,1673365710762,26.9
776,1673365710925,26.89
777,1673365711090,26.89
778,1673365711254,26.89
779,1673365711417,26.89
780,1673365711582,26.9
781,1673365711745,26.89
782,1673365711910,26.89
783,1673365712073,26.89
784,1673365712238,26.9
785,1673365712401,26.9
786,1673365712565,26.9
787,1673365712730,26.89
788,1673365712894,26.9
789,1673365713057,26.89
790,1673365713222,26.89
791,1673365713385,26.89
792,1673365713550,26.89
793,1673365713713,26.9
794,1673365713877,26.9
795,1673365714042,26.9
796,1673365714206,26.9
797,1673365714369,26.9
798,1673365714534,26.89
799,1673365714697,26.9
800,1673365714862,26.9
801,1673365715025,26.9
802,1673365715189,26.89
803,1673365715353,26.9
804,1673365715518,26.9
805,1673365715682,26.9
806,1673365715845,26.9
807,1673365716010,26.88
808,1673365716174,26.89
809,1673365716337,26.89
810,1673365716502,26.89
811,1673365716665,26.89
812,1673365716830,26.89
813,1673365716993,26.9
814,1673365717157,26.89
815,1673365717322,26.9
816,1673365717485,26.89
817,1673365717650,26.89
818,1673365717813,26.89
819,1673365717978,26.89
820,1673365718141,26.9
821,1673365718306,26.9
822,1673365718469,26.9
823,1673365718634,26.9
824,1673365718798,26.9
825,1673365718962,26.91
826,1673365719125,26.9
827,1673365719289,26.9
828,1673365719453,26.9
829,1673365719618,26.91
830,1673365719781,26.9
831,1673365719946,26.9
832,1673365720109,26.9
833,1673365720274,26.92
834,1673365720438,26.9
835,1673365720601,26.89
836,1673365720766,26.9
837,1673365720929,26.91
838,1673365721094,26.91
839,1673365721257,26.9
840,1673365721421,26.9
841,1673365721586,26.91
842,1673365721749,26.91
843,1673365721914,26.9
844,1673365722077,26.9
845,1673365722241,26.91
846,1673365722406,26.91
847,1673365722570,26.9
848,1673365722733,26.91
